WL [nm],Landsat8,Sentinel2_A,Sentinel2_B,Modis
760,0,0.000672587,0,0
761,0,0.003888561,0,0
762,0,0,0,0
763,0,0,0,0
764,0,0,0,0
765,0,0,0,0
766,0,0,0,0
767,0,0,0,0
768,0,0,0,0
769,0,0,0,0
770,0,0,0,0
771,0,0,0,0
772,0,0,0,0
773,0,0.000289559,0,0
774,0,0.00702964,0.000386696,0
775,0,0.017523915,0.003018401,0
776,0,0.032311111,0.01669158,0
777,0,0.05328661,0.028340486,0
778,0,0.082998852,0.0502885,0
779,0,0.127485024,0.08626388,0
780,0,0.195910652,0.149596686,0
781,0,0.302463232,0.258428566,0
782,0,0.435539537,0.425108406,0
783,0,0.571416366,0.631697563,0
784,0,0.697667008,0.803109115,0
785,0,0.803038519,0.904984654,0
786,0,0.891157437,0.939674653,0
787,0,0.952845837,0.944958731,0
788,0,0.988941605,0.948238826,0
789,0,1,0.963880684,0
790,0,0.988406528,0.979861632,0
791,0,0.963892161,0.991635585,0
792,0,0.942079674,0.996362309,0
793,0,0.936946427,1,0
794,0,0.942273429,0.998257939,0
795,0,0.953957178,0.998488834,0
796,0,0.968288956,0.989253171,0
797,0,0.979665494,0.98294089,0
798,0,0.985444404,0.968189827,0
799,0,0.985926806,0.958222106,0
800,0,0.983911811,0.951650369,0
801,0,0.97793903,0.947054991,0
802,0,0.977227714,0.944166995,0
803,0,0.978106086,0.948383123,0
804,0,0.981444864,0.946461415,0
805,0,0.987645575,0.942132884,0
806,0,0.988577078,0.929937199,0
807,0,0.986242198,0.914683918,0
808,0,0.980709208,0.893248878,0
809,0,0.970786244,0.873037871,0
810,0,0.957210894,0.852648452,0
811,0,0.938658206,0.836447483,0
812,0,0.91672388,0.824300756,0
813,0,0.896207585,0.814333379,0
814,0,0.872887998,0.810955964,0
815,0,0.851603307,0.803715941,0
816,0,0.824639396,0.791980175,0
817,0,0.800781174,0.783270185,0
818,0,0.782338598,0.767838865,0
819,0,0.763602744,0.754167357,0
820,0,0.749627707,0.742309406,0.01046
821,0,0.738722099,0.727235815,0.01539
822,0,0.730794069,0.719323269,0.02062
823,0,0.722712368,0.713866399,0.02585
824,0,0.725077084,0.718941021,0.03532
825,0,0.725638556,0.726527917,0.04527
826,0,0.723042174,0.738324031,0.06001
827,0,0.722292106,0.750210769,0.0753
828,0,0.716163645,0.761800392,0.09058
829,-0.000034,0.711594459,0.769900245,0.11117
830,0.000011,0.708269542,0.781725199,0.13231
831,0.00005,0.701572051,0.78381047,0.16031
832,0.0001,0.699245321,0.783069959,0.18899
833,0.000239,0.700937618,0.782718588,0.21767
834,0.000314,0.706927327,0.781644143,0.25697
835,0.000495,0.718240007,0.780380397,0.29725
836,0.000719,0.731246343,0.781443024,0.35818
837,0.000986,0.748406102,0.781701218,0.42094
838,0.001445,0.76818541,0.78177353,0.48369
839,0.002107,0.783948066,0.780064535,0.56435
840,0.00316,0.7968381,0.777591823,0.64668
841,0.004744,0.802602063,0.770831803,0.71891
842,0.007059,0.804519396,0.764574958,0.79014
843,0.0109,0.802409182,0.753876586,0.86136
844,0.017346,0.796990717,0.743324604,0.91546
845,0.028332,0.789203043,0.733775698,0.96775
846,0.048191,0.776916211,0.722497914,0.98107
847,0.084363,0.765184064,0.712900724,0.99011
848,0.145365,0.751197174,0.699439134,0.99916
849,0.249733,0.737003566,0.688575227,0.99292
850,0.403526,0.722623995,0.674039061,0.98512
851,0.582623,0.704125782,0.657552716,0.97981
852,0.745037,0.684108046,0.643729834,0.97474
853,0.890315,0.664745277,0.62865391,0.96967
854,0.960215,0.647368908,0.614005803,0.96801
855,0.986833,0.630051247,0.603233252,0.96665
856,0.973133,0.615642224,0.594982815,0.96742
857,0.980606,0.602495567,0.588091928,0.96843
858,0.99612,0.589889921,0.585186507,0.96943
859,1,0.579933995,0.582889219,0.9679
860,0.989777,0.571365058,0.581493721,0.96614
861,0.980733,0.560942415,0.580137218,0.97189
862,0.975935,0.552351052,0.574804624,0.97834
863,0.972043,0.54568236,0.576654614,0.98479
864,0.957357,0.539580517,0.572399696,0.98336
865,0.951209,0.535102151,0.570992768,0.9811
866,0.947044,0.530936751,0.569291451,0.97379
867,0.953162,0.530165085,0.571025201,0.96597
868,0.951499,0.52984662,0.570861066,0.95815
869,0.94845,0.530366818,0.572213154,0.93526
870,0.940094,0.532114628,0.575418141,0.91074
871,0.950632,0.53271918,0.577804028,0.86532
872,0.956079,0.532468057,0.579603586,0.81809
873,0.96646,0.53331158,0.579294979,0.77086
874,0.969821,0.531927797,0.578302049,0.70284
875,0.93661,0.530510552,0.57565598,0.633
876,0.891066,0.52951499,0.569721665,0.54159
877,0.788733,0.52996848,0.561891364,0.44806
878,0.63532,0.532533725,0.556830745,0.35453
879,0.448364,0.537050849,0.549385012,0.27694
880,0.288847,0.542353442,0.545858439,0.20118
881,0.174619,0.549124971,0.542536249,0.16185
882,0.100343,0.555230551,0.541895109,0.12599
883,0.058265,0.560111348,0.539852497,0.09012
884,0.034532,0.557679988,0.537997281,0.07376
885,0.02072,0.548219844,0.53195493,0.05918
886,0.01244,0.531446128,0.522275927,0.05168
887,0.007601,0.507635285,0.505572421,0.04494
888,0.004702,0.478112241,0.48804203,0.0382
889,0.002944,0.450927929,0.469610434,0.03447
890,0.00187,0.427984659,0.456107021,0.03105
891,0.001192,0.41051405,0.445848869,0.02849
892,0.000743,0.400391391,0.443119818,0.02599
893,0.000423,0.400873018,0.445581498,0.0235
894,0.000241,0.40829375,0.447532506,0.02129
895,0.000116,0.420865558,0.440183411,0.01912
896,0.000044,0.430070218,0.418240241,0.01695
897,-0.000013,0.424566916,0.369455837,0.01478
898,-0.00005,0.391368172,0.301788007,0.01261
899,-0.000084,0.330090082,0.235014942,0.01059
900,-0.0001,0.257205092,0.174244972,0
901,0,0.181890305,0.122382945,0
902,0,0.116506681,0.083462794,0
903,0,0.070315795,0.056162189,0
904,0,0.042753811,0.038006008,0
905,0,0.025931542,0.024240249,0
906,0,0.015743939,0.014845963,0
907,0,0.003943258,0.006132899,0
