WL [nm],Landsat8,Sentinel2_A,Sentinel2_B,Modis
,,,,
2037,-0.00001,0,0,0
2038,0.000037,0,0,0
2039,0.000083,0,0,0
2040,0.000131,0,0,0
2041,0.000179,0,0,0
2042,0.00024,0,0,0
2043,0.000305,0,0,0
2044,0.000368,0,0,0
2045,0.00043,0,0,0
2046,0.000512,0,0,0
2047,0.000599,0,0,0
2048,0.000704,0,0,0
2049,0.000814,0,0,0
2050,0.000947,0,0,0
2051,0.001085,0,0,0
2052,0.001222,0,0,0
2053,0.00136,0,0,0
2054,0.001546,0,0,0
2055,0.001745,0,0,0
2056,0.001964,0,0,0
2057,0.002187,0,0,0
2058,0.002439,0,0,0.01
2059,0.002696,0,0,0.01032
2060,0.00301,0,0,0.0109
2061,0.003339,0,0,0.0124
2062,0.003733,0,0,0.01455
2063,0.004141,0,0,0.01671
2064,0.004627,0,0,0.01887
2065,0.005137,0,0.000227567,0.02103
2066,0.005728,0,0.000739283,0.02429
2067,0.006337,0,0.001656775,0.02895
2068,0.007139,0,0.003019587,0.03361
2069,0.007996,0,0.004589377,0.03826
2070,0.008903,0,0.005924935,0.04292
2071,0.009824,0,0.007534774,0.05008
2072,0.011005,0,0.008748008,0.06059
2073,0.012261,0,0.010265481,0.0711
2074,0.01361,0,0.012236179,0.08161
2075,0.014987,0,0.014593479,0.09211
2076,0.016872,0,0.017458937,0.10913
2077,0.018899,0,0.021063245,0.13471
2078,0.021,0.000639264,0.025428056,0.1603
2079,0.023121,0.001022905,0.03060944,0.18588
2080,0.025897,0.002884721,0.037234457,0.21146
2081,0.028847,0.003997454,0.045771325,0.24528
2082,0.032071,0.006597118,0.056362502,0.28908
2083,0.035363,0.007659826,0.070016996,0.33288
2084,0.040206,0.00800413,0.088004988,0.37668
2085,0.045432,0.008539692,0.110694417,0.42048
2086,0.050903,0.009300309,0.138884174,0.46826
2087,0.056429,0.010001938,0.173287791,0.52114
2088,0.06327,0.010972178,0.214374591,0.57402
2089,0.070409,0.012089456,0.261990789,0.6269
2090,0.079382,0.013364144,0.317227795,0.67979
2091,0.088907,0.015017309,0.380865706,0.72797
2092,0.10064,0.01712566,0.449470316,0.77021
2093,0.11283,0.01978032,0.522785467,0.81245
2094,0.128292,0.023335884,0.598898522,0.85469
2095,0.144668,0.027667597,0.672128213,0.89692
2096,0.162055,0.033215941,0.737899139,0.92613
2097,0.179714,0.040217377,0.792930708,0.93915
2098,0.20278,0.048882662,0.835658783,0.95218
2099,0.227234,0.059642173,0.866335142,0.9652
2100,0.253732,0.073175151,0.886329697,0.97822
2101,0.280925,0.090534716,0.897588245,0.98672
2102,0.311347,0.111470124,0.901517855,0.98964
2103,0.342526,0.13690299,0.900790721,0.99255
2104,0.377044,0.167810536,0.897113531,0.99546
2105,0.412621,0.203460906,0.892352598,0.99837
2106,0.45047,0.242871255,0.88796428,0.9927
2107,0.488816,0.284898317,0.884432193,0.97616
2108,0.522458,0.327177957,0.882095059,0.95962
2109,0.554715,0.36840376,0.881695748,0.94308
2110,0.593227,0.40800276,0.88269782,0.92654
2111,0.633521,0.444778149,0.887154405,0.91325
2112,0.663067,0.476537405,0.892732955,0.90397
2113,0.689664,0.503106894,0.898903582,0.89468
2114,0.722284,0.525317548,0.905619271,0.8854
2115,0.756529,0.543351996,0.912841006,0.87611
2116,0.776463,0.557252862,0.920179789,0.86415
2117,0.792667,0.568634197,0.926912882,0.84886
2118,0.813716,0.579029932,0.933094888,0.83357
2119,0.836001,0.588683995,0.938438355,0.81828
2120,0.846344,0.59889121,0.943377038,0.803
2121,0.853714,0.609981083,0.945579227,0.78706
2122,0.867845,0.621362162,0.947407512,0.77023
2123,0.883615,0.634282516,0.948568289,0.75341
2124,0.886411,0.64854644,0.94882972,0.73659
2125,0.886127,0.663707315,0.948111791,0.71977
2126,0.895232,0.680046291,0.947115734,0.70433
2127,0.906527,0.696164765,0.946126982,0.69055
2128,0.909739,0.711964139,0.944870644,0.67677
2129,0.911091,0.727011081,0.943485039,0.66299
2130,0.917985,0.741301118,0.941894052,0.64921
2131,0.926131,0.757405387,0.942445527,0.6345
2132,0.929693,0.772070514,0.943274219,0.61858
2133,0.932227,0.78558074,0.944243794,0.60266
2134,0.936544,0.798238093,0.94528606,0.58674
2135,0.941406,0.809677071,0.946212496,0.57081
2136,0.942571,0.819701739,0.947084905,0.55518
2137,0.942952,0.82859933,0.947941677,0.53989
2138,0.943112,0.836721896,0.948940117,0.52461
2139,0.943194,0.844443431,0.949880321,0.50933
2140,0.945168,0.851107219,0.950676414,0.49405
2141,0.947537,0.853252319,0.951054332,0.47672
2142,0.948776,0.854746271,0.951531833,0.45684
2143,0.949694,0.85617419,0.952326952,0.43695
2144,0.949643,0.857820928,0.952721089,0.41707
2145,0.9494,0.859531818,0.952552047,0.39718
2146,0.952551,0.861459829,0.952417855,0.37563
2147,0.956635,0.863256985,0.952654092,0.35205
2148,0.953083,0.865138808,0.95296197,0.32847
2149,0.947423,0.867319035,0.95331832,0.30489
2150,0.949094,0.869696339,0.953779111,0.28131
2151,0.952773,0.874301992,0.954291677,0.25785
2152,0.950874,0.878588437,0.954837035,0.23455
2153,0.947477,0.882438825,0.955539257,0.21125
2154,0.947014,0.885928758,0.956750259,0.18795
2155,0.947085,0.889473121,0.957986198,0.16465
2156,0.951812,0.89322574,0.959237259,0.14512
2157,0.957717,0.896696495,0.960451396,0.13026
2158,0.953332,0.899896619,0.96141302,0.11539
2159,0.946412,0.902596288,0.96264388,0.10053
2160,0.947778,0.90483074,0.964122014,0.08566
2161,0.951119,0.905524618,0.963609737,0.07402
2162,0.951641,0.905665281,0.963104517,0.06659
2163,0.951518,0.905502587,0.962753979,0.05916
2164,0.948644,0.905157893,0.961850624,0.05173
2165,0.944956,0.904782854,0.960730243,0.0443
2166,0.942515,0.90408183,0.959560745,0.03826
2167,0.940311,0.903347495,0.958377188,0.03395
2168,0.9434,0.902760831,0.956972347,0.02963
2169,0.947923,0.902377006,0.955119849,0.02532
2170,0.94501,0.901982966,0.953076144,0.021
2171,0.940213,0.903423562,0.95406055,0.01771
2172,0.938737,0.904312941,0.955176712,0.01565
2173,0.93806,0.905315323,0.955719159,0.01359
2174,0.941859,0.906446178,0.955674616,0.01153
2175,0.947019,0.90809207,0.955356546,0.01036
2176,0.946554,0.910123185,0.954611539,0
2177,0.944482,0.912949979,0.953453566,0
2178,0.947414,0.915584774,0.952124922,0
2179,0.951661,0.918444254,0.950597985,0
2180,0.949283,0.921302412,0.948594073,0
2181,0.945318,0.924337167,0.948562399,0
2182,0.939939,0.927218563,0.948548442,0
2183,0.934142,0.929740263,0.94829598,0
2184,0.935493,0.931921865,0.947706109,0
2185,0.93882,0.934142166,0.946620434,0
2186,0.939253,0.935906112,0.94521576,0
2187,0.938955,0.937086137,0.943480979,0
2188,0.934675,0.937641167,0.942137936,0
2189,0.929162,0.938301157,0.940654943,0
2190,0.927085,0.937652085,0.938918576,0
2191,0.925692,0.940440758,0.941493007,0
2192,0.930508,0.942517533,0.943778866,0
2193,0.936899,0.943259037,0.945751584,0
2194,0.933908,0.943031026,0.947277308,0
2195,0.927984,0.942117106,0.948481875,0
2196,0.930981,0.940631648,0.949621704,0
2197,0.936472,0.938427922,0.950767479,0
2198,0.935776,0.936660033,0.951991493,0
2199,0.933523,0.935256327,0.953624457,0
2200,0.935132,0.933022239,0.955262594,0
2201,0.937592,0.926879998,0.952413026,0
2202,0.946217,0.921056996,0.950488752,0
2203,0.956567,0.915482617,0.949721652,0
2204,0.955661,0.911020114,0.949105026,0
2205,0.951991,0.908292872,0.949712169,0
2206,0.956666,0.907283492,0.95167296,0
2207,0.963135,0.90819092,0.955012323,0
2208,0.964442,0.911168883,0.959777857,0
2209,0.964365,0.916188526,0.966208245,0
2210,0.963523,0.922854635,0.973886163,0
2211,0.962434,0.920605167,0.970920044,0
2212,0.962905,0.919482312,0.969139883,0
2213,0.963685,0.919489205,0.968329935,0
2214,0.962473,0.921276392,0.967635904,0
2215,0.960741,0.924526038,0.967555279,0
2216,0.959239,0.927732919,0.968040602,0
2217,0.957814,0.931974489,0.968508397,0
2218,0.957781,0.936769555,0.968956722,0
2219,0.958041,0.941482728,0.969510275,0
2220,0.953274,0.946801994,0.969967732,0
2221,0.94716,0.951202607,0.969097684,0
2222,0.951706,0.954436663,0.968258197,0
2223,0.958833,0.957046915,0.967549788,0
2224,0.960212,0.959729173,0.96650394,0
2225,0.960339,0.962538601,0.965459532,0
2226,0.954785,0.964857726,0.964366923,0
2227,0.947696,0.966042031,0.962929804,0
2228,0.951965,0.966647037,0.961665594,0
2229,0.95906,0.966309991,0.96063821,0
2230,0.960554,0.965460063,0.959368085,0
2231,0.960764,0.964841278,0.959707097,0
2232,0.95575,0.963655749,0.960359643,0
2233,0.949261,0.961698492,0.9616448,0
2234,0.953245,0.959453949,0.962729828,0
2235,0.95997,0.957327053,0.96370081,0
2236,0.963736,0.955140475,0.964773629,0
2237,0.966786,0.953558145,0.965512685,0
2238,0.964315,0.95273179,0.96634935,0
2239,0.960173,0.952180853,0.96753842,0
2240,0.965473,0.951730689,0.96886815,0
2241,0.973416,0.952145994,0.970549249,0
2242,0.977637,0.952641408,0.972426171,0
2243,0.980904,0.954056643,0.974301395,0
2244,0.98276,0.957078482,0.976012041,0
2245,0.984155,0.960638803,0.977203216,0
2246,0.984693,0.964221982,0.978986062,0
2247,0.985056,0.968307493,0.980446263,0
2248,0.991486,0.972691041,0.981524356,0
2249,0.9996,0.97742349,0.982531672,0
2250,0.997654,0.982898416,0.983336508,0
2251,0.993153,0.98714443,0.98463147,0
2252,0.992469,0.990734152,0.986737985,0
2253,0.992675,0.993982826,0.989144288,0
2254,0.995894,0.996786808,0.991223348,0
2255,1,0.998752904,0.99318448,0
2256,0.999279,1,0.995273324,0
2257,0.997261,0.999927455,0.996704667,0
2258,0.994356,0.999151921,0.998282418,0
2259,0.991127,0.997129452,0.999605161,0
2260,0.987747,0.993883695,1,0
2261,0.984349,0.989685968,0.998654554,0
2262,0.986037,0.983735405,0.995753158,0
2263,0.989132,0.976212761,0.990605371,0
2264,0.984536,0.967813199,0.981520886,0
2265,0.978024,0.958342887,0.968715091,0
2266,0.975019,0.948440151,0.951679125,0
2267,0.972794,0.9382028,0.929343556,0
2268,0.974168,0.927724853,0.902305299,0
2269,0.97654,0.917038819,0.87044084,0
2270,0.976199,0.905999348,0.831947776,0
2271,0.975206,0.893868367,0.786119345,0
2272,0.974409,0.881682515,0.736343248,0
2273,0.973662,0.86864716,0.681862245,0
2274,0.967502,0.854635458,0.623137717,0
2275,0.959895,0.840619936,0.564024643,0
2276,0.956943,0.826015692,0.506650261,0
2277,0.955095,0.809516209,0.451376118,0
2278,0.955085,0.791866591,0.400487569,0
2279,0.955588,0.772443017,0.354176773,0
2280,0.947195,0.749106638,0.309839746,0
2281,0.93665,0.720345599,0.269312679,0
2282,0.922405,0.688185271,0.234102225,0
2283,0.907109,0.651282733,0.20225298,0
2284,0.89494,0.610049759,0.173669677,0
2285,0.883588,0.56603087,0.149356419,0
2286,0.855489,0.520969977,0.128957364,0
2287,0.823876,0.474659094,0.111530972,0
2288,0.78488,0.429259293,0.09689948,0
2289,0.744025,0.38585714,0.084874763,0
2290,0.69852,0.342091763,0.074063524,0
2291,0.651673,0.300680041,0.064469344,0
2292,0.602539,0.263176181,0.056321561,0
2293,0.552647,0.227703987,0.049381236,0
2294,0.502693,0.195720706,0.043196026,0
2295,0.452698,0.168090024,0.037986086,0
2296,0.403993,0.144679716,0.033468826,0
2297,0.355569,0.124830647,0.028983375,0
2298,0.315712,0.108237331,0.025085752,0
2299,0.27826,0.09440058,0.020007676,0
2300,0.244645,0.082363039,0.013837921,0
2301,0.212213,0.071500068,0.008464001,0
2302,0.186151,0.062690603,0.004443102,0
2303,0.161749,0.054985448,0.000848571,0
2304,0.141435,0.048194534,0,0
2305,0.122015,0.042864117,0,0
2306,0.106531,0.038598228,0,0
2307,0.092029,0.034947252,0,0
2308,0.080268,0.031998848,0,0
2309,0.069276,0.029587869,0,0
2310,0.060703,0.027418116,0,0
2311,0.052702,0.025576973,0,0
2312,0.046332,0.023959421,0,0
2313,0.040405,0.021671692,0,0
2314,0.035634,0.019147972,0,0
2315,0.031213,0.016331132,0,0
2316,0.027516,0.010988591,0,0
2317,0.024,0.007378602,0,0
2318,0.021262,0.006510601,0,0
2319,0.018688,0.004709556,0,0
2320,0.016562,0.002065107,0,0
2321,0.014545,0,0,0
2322,0.01293,0,0,0
2323,0.011426,0,0,0
2324,0.010155,0,0,0
2325,0.008959,0,0,0
2326,0.007992,0,0,0
2327,0.007088,0,0,0
2328,0.006348,0,0,0
2329,0.005643,0,0,0
2330,0.005019,0,0,0
2331,0.004415,0,0,0
2332,0.003903,0,0,0
2333,0.003421,0,0,0
2334,0.003025,0,0,0
2335,0.002651,0,0,0
2336,0.00234,0,0,0
2337,0.002047,0,0,0
2338,0.001795,0,0,0
2339,0.001554,0,0,0
2340,0.001345,0,0,0
2341,0.001145,0,0,0
2342,0.000974,0,0,0
2343,0.000811,0,0,0
2344,0.00068,0,0,0
2345,0.00056,0,0,0
2346,0.00044,0,0,0
2347,0.00032,0,0,0
2348,0.000217,0,0,0
2349,0.000119,0,0,0
2350,0.000028,0,0,0
2351,-0.000062,0,0,0
2352,-0.000134,0,0,0
2353,-0.000202,0,0,0
2354,-0.000263,0,0,0
2355,-0.000322,0,0,0
